,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
396,06,031,1004,88101,3,36.31567,-119.643447,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2020,Micrograms/cubic meter (LC),Events Inclucded,364,99.0,Y,364,366,0,0,,,Certified,19.987363,19.738623,147.0,2020-08-22 00:00,135.1,2020-08-21 00:00,117.9,2020-09-14 00:00,116.7,2020-08-23 00:00,,,,,116.7,86.9,49.3,40.6,25.7,13.1,4.9,Hanford-Irwin,"807 SOUTH IRWIN ST., HANFORD",California,Kings,Hanford,25260,"Hanford-Corcoran, CA",2021-10-31
402,06,031,1004,88101,3,36.31567,-119.643447,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,364,99.0,Y,364,366,0,0,,,Certified,19.987363,19.738623,147.0,2020-08-22 00:00,135.1,2020-08-21 00:00,117.9,2020-09-14 00:00,116.7,2020-08-23 00:00,,,,,116.7,86.9,49.3,40.6,25.7,13.1,4.9,Hanford-Irwin,"807 SOUTH IRWIN ST., HANFORD",California,Kings,Hanford,25260,"Hanford-Corcoran, CA",2021-10-31
409,06,069,0002,88101,3,36.843425,-121.3621,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,358,98.0,Y,358,366,0,0,,,Certified,8.936872,11.46962,89.0,2020-09-14 00:00,84.8,2020-08-19 00:00,73.9,2020-10-02 00:00,66.4,2020-09-13 00:00,,,,,66.4,59.1,24.7,13.9,8.6,6.0,3.1,Hollister,1979 Fairview Rd,California,San Benito,Hollister,41940,"San Jose-Sunnyvale-Santa Clara, CA",2021-10-31
415,06,065,2002,88101,1,33.70853,-116.21537,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,1,,,Certified,8.404132,4.040635,25.6,2020-09-15 00:00,21.7,2020-09-12 00:00,20.2,2020-10-06 00:00,18.5,2020-10-09 00:00,,,,,21.7,20.2,15.5,12.9,10.1,8.0,4.1,Indio,"46-990 JACKSON ST., INDIO",California,Riverside,Indio,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
421,06,065,0500,88101,2,33.71969,-116.1897,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Met One E-FRM PM2.5 with VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,23,38.0,N,23,61,0,3,,,Certification not required,9.621739,4.132571,19.7,2020-10-06 00:00,15.2,2020-12-11 00:00,14.7,2020-08-19 00:00,14.1,2020-09-24 00:00,,,,,19.7,19.7,15.2,14.7,12.5,9.0,4.5,29 Palms,"84245 Vista Del Norte, Indio, CA   92203",California,Riverside,Indio,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
429,06,065,0500,88101,1,33.71969,-116.1897,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,363,99.0,Y,363,366,0,0,,,Certification not required,8.674656,5.149502,43.6,2020-09-16 00:00,32.0,2020-09-08 00:00,31.2,2020-09-15 00:00,31.0,2020-10-05 00:00,,,,,31.0,26.3,17.2,13.8,10.7,7.8,3.9,29 Palms,"84245 Vista Del Norte, Indio, CA   92203",California,Riverside,Indio,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
436,06,065,0010,88101,1,33.747236,-115.820124,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,266,73.0,N,266,366,0,0,,,Certification not required,6.420677,5.291544,47.4,2020-09-07 00:00,47.0,2020-09-08 00:00,25.4,2020-08-01 00:00,24.7,2020-08-03 00:00,,,,,25.4,18.1,14.5,11.2,7.8,5.4,2.2,Joshua Tree NP - Cottonwood Visitor Center,"Joshua Tree National Park, California",California,Riverside,Joshua Tree National Monument,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
445,06,027,1003,88101,3,36.487823,-117.871036,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Excluded,345,100.0,Y,365,366,0,0,,,Certified,7.422609,10.548727,160.7,2020-09-08 00:00,42.3,2020-10-25 00:00,35.2,2020-10-10 00:00,34.5,2020-09-19 00:00,,,,,34.5,31.7,22.8,15.0,7.0,4.7,2.3,Keeler,"KEELER, 190 Cerro Gordo Road",California,Inyo,Keeler,13860,"Bishop, CA",2021-10-31
451,06,027,1003,88101,3,36.487823,-117.871036,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,365,100.0,Y,365,366,0,0,,,Certified,10.48137,17.336252,160.7,2020-09-08 00:00,114.5,2020-09-06 00:00,103.8,2020-09-24 00:00,103.4,2020-09-25 00:00,,,,,103.4,66.6,39.6,24.4,7.7,5.1,2.7,Keeler,"KEELER, 190 Cerro Gordo Road",California,Inyo,Keeler,13860,"Bishop, CA",2021-10-31
457,06,027,1003,88101,3,36.487823,-117.871036,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,365,100.0,Y,365,366,0,0,,,Certified,10.48137,17.336252,160.7,2020-09-08 00:00,114.5,2020-09-06 00:00,103.8,2020-09-24 00:00,103.4,2020-09-25 00:00,,,,,103.4,66.6,39.6,24.4,7.7,5.1,2.7,Keeler,"KEELER, 190 Cerro Gordo Road",California,Inyo,Keeler,13860,"Bishop, CA",2021-10-31
463,06,027,1003,88101,1,36.487823,-117.871036,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,112,94.0,Y,115,122,0,7,,,Certified,5.741071,6.40347,32.0,2020-10-18 00:00,30.0,2020-08-31 00:00,28.0,2020-10-06 00:00,26.0,2020-09-15 00:00,,,,,30.0,28.0,22.0,12.0,6.0,3.0,1.0,Keeler,"KEELER, 190 Cerro Gordo Road",California,Inyo,Keeler,13860,"Bishop, CA",2021-10-31
469,06,027,1003,88101,1,36.487823,-117.871036,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,115,94.0,Y,115,122,3,7,,,Certified,7.704348,13.636235,88.0,2020-09-06 00:00,81.0,2020-09-24 00:00,74.0,2020-09-18 00:00,32.0,2020-10-18 00:00,,,,,81.0,74.0,28.0,15.0,6.0,4.0,2.0,Keeler,"KEELER, 190 Cerro Gordo Road",California,Inyo,Keeler,13860,"Bishop, CA",2021-10-31
475,06,027,1003,88101,1,36.487823,-117.871036,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,115,94.0,Y,115,122,3,7,,,Certified,7.704348,13.636235,88.0,2020-09-06 00:00,81.0,2020-09-24 00:00,74.0,2020-09-18 00:00,32.0,2020-10-18 00:00,,,,,81.0,74.0,28.0,15.0,6.0,4.0,2.0,Keeler,"KEELER, 190 Cerro Gordo Road",California,Inyo,Keeler,13860,"Bishop, CA",2021-10-31
482,06,053,0008,88101,3,36.209286,-121.126371,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,362,99.0,Y,362,366,0,0,,,Certified,8.812983,16.671565,178.2,2020-08-21 00:00,160.2,2020-08-20 00:00,121.9,2020-08-22 00:00,81.3,2020-09-14 00:00,,,,,81.3,61.6,23.5,13.0,8.3,5.0,1.8,King City 2,415 Pearl Street,California,Monterey,King City,41500,"Salinas, CA",2021-10-31
488,06,033,3002,88101,1,39.01893,-122.91333,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,57,100.0,Y,61,61,0,0,,,Certified,4.898246,4.22782,26.5,2020-09-06 00:00,21.8,2020-10-06 00:00,8.4,2020-10-30 00:00,8.4,2020-12-05 00:00,,,,,26.5,21.8,8.4,7.1,5.8,3.8,1.2,Lakeport-S. Main Street,"2617 S. Main Street, Lakeport, CA 95453",California,Lake,Lakeport,17340,"Clearlake, CA",2021-10-31
494,06,033,3002,88101,1,39.01893,-122.91333,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,61,100.0,Y,61,61,4,0,,,Certified,9.568852,19.38769,111.5,2020-08-25 00:00,84.8,2020-09-30 00:00,66.2,2020-08-31 00:00,42.0,2020-09-12 00:00,,,,,111.5,84.8,42.0,8.4,6.5,4.2,1.7,Lakeport-S. Main Street,"2617 S. Main Street, Lakeport, CA 95453",California,Lake,Lakeport,17340,"Clearlake, CA",2021-10-31
500,06,033,3002,88101,1,39.01893,-122.91333,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,61,100.0,Y,61,61,4,0,,,Certified,9.568852,19.38769,111.5,2020-08-25 00:00,84.8,2020-09-30 00:00,66.2,2020-08-31 00:00,42.0,2020-09-12 00:00,,,,,111.5,84.8,42.0,8.4,6.5,4.2,1.7,Lakeport-S. Main Street,"2617 S. Main Street, Lakeport, CA 95453",California,Lake,Lakeport,17340,"Clearlake, CA",2021-10-31
507,06,037,9033,88101,1,34.669739,-118.130511,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,362,99.0,Y,362,366,0,0,,,Certified,9.323481,9.038053,74.7,2020-08-21 00:00,73.9,2020-09-07 00:00,59.3,2020-08-20 00:00,48.6,2020-08-16 00:00,,,,,48.6,39.8,25.7,16.5,9.2,7.1,3.4,Lancaster-Division Street,"43301 DIVISION ST., LANCASTER, CA",California,Los Angeles,Lancaster,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
514,06,087,0007,88101,3,36.98332,-121.98822,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,364,99.0,Y,364,366,0,0,,,Certified,8.20522,10.578402,90.4,2020-09-14 00:00,86.3,2020-09-13 00:00,70.8,2020-09-11 00:00,70.7,2020-09-12 00:00,,,,,70.7,51.6,19.0,11.4,8.0,6.0,2.6,Santa Cruz,960 Bostwick Lane,California,Santa Cruz,Live Oak,42100,"Santa Cruz-Watsonville, CA",2021-10-31
521,06,001,0007,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,358,98.0,Y,358,366,0,0,,,Certified,10.578212,15.233993,122.0,2020-09-12 00:00,100.4,2020-09-14 00:00,99.9,2020-08-23 00:00,99.8,2020-09-11 00:00,,,,,99.8,59.1,33.0,19.8,9.4,6.2,2.9,Livermore,793 Rincon Ave.,California,Alameda,Livermore,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
528,06,083,2004,88101,1,34.63782,-120.4575,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,356,97.0,Y,356,366,0,0,,,Certified,6.461798,8.486589,85.6,2020-09-14 00:00,63.4,2020-09-13 00:00,49.1,2020-09-12 00:00,48.7,2020-09-11 00:00,,,,,48.7,37.1,16.8,10.9,7.5,4.8,1.1,Lompoc H Street,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,42200,"Santa Maria-Santa Barbara, CA",2021-10-31
534,06,037,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,1,,,Certified,12.496694,9.203468,66.0,2020-09-15 00:00,48.3,2020-10-27 00:00,45.7,2020-09-12 00:00,38.3,2020-07-05 00:00,,,,,48.3,45.7,26.1,21.1,14.7,10.3,4.3,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
540,06,037,4004,88101,1,33.79236,-118.17533,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,358,98.0,Y,358,366,0,8,,,Certified,12.139106,8.433515,63.7,2020-09-15 00:00,59.3,2020-09-14 00:00,49.8,2020-10-27 00:00,49.5,2020-09-12 00:00,,,,,49.5,39.0,26.9,21.4,14.7,10.4,4.5,Long Beach (South),"1305 E. Pacific Coast Hwy., Long Beach",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
547,06,037,4004,88101,3,33.79236,-118.17533,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,352,96.0,Y,352,366,0,0,,,Certified,15.380114,9.294133,72.6,2020-09-15 00:00,66.5,2020-09-14 00:00,61.8,2020-10-27 00:00,55.9,2020-09-12 00:00,,,,,55.9,46.0,31.1,24.4,18.6,13.5,6.7,Long Beach (South),"1305 E. Pacific Coast Hwy., Long Beach",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
554,06,037,4008,88101,3,33.859662,-118.200707,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,335,92.0,Y,335,366,0,0,,,Certified,15.327164,9.585509,74.1,2020-09-15 00:00,64.6,2020-09-14 00:00,55.4,2020-09-12 00:00,54.4,2020-07-05 00:00,,,,,54.4,44.9,33.6,25.4,18.7,12.7,6.6,Long Beach-Route 710 Near Road,5895 Long Beach Blvd.,California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
560,06,037,4008,88101,1,33.859662,-118.200707,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,361,99.0,Y,361,366,0,5,,,Certified,13.804709,9.048972,65.7,2020-09-15 00:00,60.8,2020-09-14 00:00,48.7,2020-09-12 00:00,47.6,2020-09-13 00:00,,,,,47.6,41.7,31.2,24.3,17.1,11.5,5.5,Long Beach-Route 710 Near Road,5895 Long Beach Blvd.,California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
566,06,037,1103,88101,2,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,59,98.0,Y,60,61,0,1,,,Certified,12.789831,6.41248,33.7,2020-10-06 00:00,28.0,2020-11-23 00:00,25.4,2020-01-16 00:00,24.2,2020-09-18 00:00,,,,,33.7,28.0,25.4,21.9,16.5,12.2,6.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
572,06,037,1103,88101,2,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,60,98.0,Y,60,61,1,1,,,Certified,13.493333,8.373644,55.0,2020-09-12 00:00,33.7,2020-10-06 00:00,28.0,2020-11-23 00:00,25.4,2020-01-16 00:00,,,,,55.0,33.7,28.0,23.9,16.7,12.2,6.7,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
578,06,037,1103,88101,2,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,60,98.0,Y,60,61,1,1,,,Certified,13.493333,8.373644,55.0,2020-09-12 00:00,33.7,2020-10-06 00:00,28.0,2020-11-23 00:00,25.4,2020-01-16 00:00,,,,,55.0,33.7,28.0,23.9,16.7,12.2,6.7,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
584,06,037,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,357,99.0,Y,363,366,0,3,,,Certified,13.117647,11.764066,175.0,2020-07-05 00:00,90.2,2020-07-04 00:00,47.3,2020-01-26 00:00,42.5,2020-10-05 00:00,,,,,42.5,34.6,26.0,21.1,16.2,10.8,4.6,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
590,06,037,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,363,99.0,Y,363,366,6,3,,,Certified,13.728375,12.619326,175.0,2020-07-05 00:00,90.2,2020-07-04 00:00,56.9,2020-09-14 00:00,56.7,2020-09-15 00:00,,,,,56.7,47.1,27.7,22.2,16.5,10.9,5.3,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
596,06,037,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,363,99.0,Y,363,366,6,3,,,Certified,13.728375,12.619326,175.0,2020-07-05 00:00,90.2,2020-07-04 00:00,56.9,2020-09-14 00:00,56.7,2020-09-15 00:00,,,,,56.7,47.1,27.7,22.2,16.5,10.9,5.3,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
602,06,039,2010,88101,1,36.953256,-120.034203,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,29,94.0,Y,29,31,0,2,,,Certification not required,18.703448,18.261816,87.4,2020-09-12 00:00,48.8,2020-10-06 00:00,46.0,2020-08-31 00:00,37.7,2020-10-18 00:00,,,,,87.4,87.4,48.8,46.0,23.9,11.2,4.2,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,31460,"Madera, CA",2021-10-31
609,06,039,2010,88101,3,36.953256,-120.034203,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,366,100.0,Y,366,366,0,0,,,Certified,16.938251,21.842811,199.7,2020-09-14 00:00,143.6,2020-09-13 00:00,138.1,2020-08-22 00:00,116.1,2020-08-21 00:00,,,,,116.1,87.7,55.0,33.9,18.9,10.1,3.5,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,31460,"Madera, CA",2021-10-31
618,06,051,0001,88101,6,37.64571,-118.96652,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Excluded,297,95.0,Y,347,366,0,0,,,Certified,9.668013,8.46994,94.7,2020-09-08 00:00,34.8,2020-09-30 00:00,32.5,2020-12-20 00:00,30.0,2020-12-24 00:00,,,,,30.0,28.8,24.1,18.5,12.2,5.4,,Mammoth,"MAMMOTH, Corner of Old Mammoth Road and HWY 203,  MAMMOTH LAKES",California,Mono,Mammoth Lakes,,,2021-10-31
624,06,051,0001,88101,6,37.64571,-118.96652,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,347,95.0,Y,347,366,0,0,,,Certified,39.638329,96.47063,659.6,2020-09-15 00:00,606.2,2020-09-16 00:00,578.3,2020-09-14 00:00,499.3,2020-09-17 00:00,,,,,499.3,466.2,259.4,89.4,18.2,8.2,3.5,Mammoth,"MAMMOTH, Corner of Old Mammoth Road and HWY 203,  MAMMOTH LAKES",California,Mono,Mammoth Lakes,,,2021-10-31
630,06,051,0001,88101,6,37.64571,-118.96652,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,347,95.0,Y,347,366,0,0,,,Certified,39.638329,96.47063,659.6,2020-09-15 00:00,606.2,2020-09-16 00:00,578.3,2020-09-14 00:00,499.3,2020-09-17 00:00,,,,,499.3,466.2,259.4,89.4,18.2,8.2,3.5,Mammoth,"MAMMOTH, Corner of Old Mammoth Road and HWY 203,  MAMMOTH LAKES",California,Mono,Mammoth Lakes,,,2021-10-31
636,06,051,0001,88101,5,37.64571,-118.96652,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,102,94.0,Y,115,122,0,7,,,Certified,7.382353,6.059187,30.0,2020-08-31 00:00,27.0,2020-10-03 00:00,26.0,2020-11-02 00:00,22.0,2020-08-22 00:00,,,,,27.0,26.0,22.0,15.0,8.0,5.0,,Mammoth,"MAMMOTH, Corner of Old Mammoth Road and HWY 203,  MAMMOTH LAKES",California,Mono,Mammoth Lakes,,,2021-10-31
642,06,051,0001,88101,5,37.64571,-118.96652,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,115,94.0,Y,115,122,13,7,,,Certified,20.982609,45.770783,309.0,2020-09-15 00:00,227.0,2020-10-18 00:00,154.0,2020-09-18 00:00,144.0,2020-10-12 00:00,,,,,227.0,154.0,142.0,43.0,12.0,6.0,2.0,Mammoth,"MAMMOTH, Corner of Old Mammoth Road and HWY 203,  MAMMOTH LAKES",California,Mono,Mammoth Lakes,,,2021-10-31
648,06,051,0001,88101,5,37.64571,-118.96652,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,115,94.0,Y,115,122,13,7,,,Certified,20.982609,45.770783,309.0,2020-09-15 00:00,227.0,2020-10-18 00:00,154.0,2020-09-18 00:00,144.0,2020-10-12 00:00,,,,,227.0,154.0,142.0,43.0,12.0,6.0,2.0,Mammoth,"MAMMOTH, Corner of Old Mammoth Road and HWY 203,  MAMMOTH LAKES",California,Mono,Mammoth Lakes,,,2021-10-31
657,06,077,2010,88101,3,37.793392,-121.247874,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Excluded,357,99.0,Y,361,366,0,0,,,Certified,14.027451,17.341665,140.0,2020-09-11 00:00,128.5,2020-09-12 00:00,111.9,2020-09-13 00:00,105.0,2020-09-14 00:00,,,,,105.0,66.9,38.6,28.5,16.6,8.6,3.4,Manteca,"530 Fishback Road Manteca, CA",California,San Joaquin,Manteca,44700,"Stockton-Lodi, CA",2021-10-31
663,06,077,2010,88101,3,37.793392,-121.247874,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,361,99.0,Y,361,366,0,0,,,Certified,14.896122,19.129002,140.0,2020-09-11 00:00,128.5,2020-09-12 00:00,111.9,2020-09-13 00:00,105.0,2020-09-14 00:00,,,,,105.0,91.6,43.1,29.2,17.0,8.7,3.6,Manteca,"530 Fishback Road Manteca, CA",California,San Joaquin,Manteca,44700,"Stockton-Lodi, CA",2021-10-31
